country,subnational1,subnational2,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Kedah,Kota Setar,30,5969,288499,48,1646,50613,-48967,5675,1011,83,825,1695,431,1800,622,1771,485,605,220,408,3233,1972,5626,1957,832,4829,259,206,439,2875
Malaysia,Kedah,Kota Setar,50,5207,254892,49,1464,44544,-43080,5487,945,68,778,1553,376,1800,562,1542,424,527,191,383,2870,1525,4420,1724,832,4393,228,137,355,2562
Malaysia,Kedah,Kota Setar,75,3697,185118,50,936,32850,-31914,3580,549,0,462,479,224,1348,215,968,117,413,100,383,1873,1089,3089,1160,762,3046,160,68,149,1299
Malaysia,Kedah,Kuala Muda,0,92069,4698960,51,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kuala Muda,10,49559,4621588,93,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kuala Muda,15,48512,4560562,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kuala Muda,20,47703,4510111,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kuala Muda,25,47290,4485922,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kuala Muda,30,46460,4436563,95,247378,248816,-1437,68010,202948,119483,267787,221281,155573,130073,379690,241856,299215,130431,287577,157147,504086,451203,387581,343213,232604,334395,236636,208517,143305,187092
Malaysia,Kedah,Kuala Muda,50,42889,4190567,98,238535,235158,3377,66643,193949,115798,248445,213964,149217,127565,374163,234450,296141,128158,282830,150407,485450,446199,378838,330618,220977,318498,223050,196962,132704,171281
Malaysia,Kedah,Kuala Muda,75,32029,3293274,103,182808,200785,-17976,53039,125213,75653,137184,128513,83029,103527,312981,148345,213791,109323,247185,116649,394430,402262,326365,264411,175558,242454,165130,150337,96092,133125
Malaysia,Kedah,Kubang Pasu,0,94943,5065399,53,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kubang Pasu,10,49743,4899952,99,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Kedah,Kubang Pasu,15,49053,4859309,99,,,,,,,,,,,,,,,,,,,,,,,,,,
