country,subnational1,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e
Malaysia,Sarawak,50,11524585,1546121234,134,109595368,39209171,70386197,49660026,52226414,60154172,91584260,104622266,98842937,154438683,141535420,280850060,118595053,168713881,227337174,101643022,169074721,111921398,119384786,107400467,96306027,77889237,45570602,44600544,46208148,52134167
Malaysia,Sarawak,75,11067414,1513688668,137,107441686,37030012,70411673,48196447,50996355,58884157,89556905,102833754,97460269,152522915,140384869,278131893,117802178,167605696,225121424,99461621,164984136,108955698,115416206,103704186,92950151,74988591,43740415,42841331,44476812,50142761
Malaysia,Selangor,0,782443,55057927,70,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,10,581303,54785119,94,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,15,575405,54537124,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,20,571761,54377662,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,25,568977,54259317,95,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Selangor,30,564558,54064971,96,3129864,2589350,540514,4121987,3461501,1581899,3559385,3844310,1859805,3699269,2827799,6587243,4177298,1472199,2737716,1330906,7154367,2029525,4013812,3191976,3395824,2910213,1731758,2796606,1402123,2099350
Malaysia,Selangor,50,543059,53006083,98,3074550,2461992,612558,4093056,3412216,1551695,3495554,3805557,1841385,3671482,2813827,6559239,4156198,1466495,2713460,1311593,7041207,1966384,3897720,3076035,3311039,2807004,1657360,2704278,1347290,2014586
Malaysia,Selangor,75,477581,49218157,103,2784878,2104015,680863,3843053,3104879,1351146,3059714,3535498,1687646,3437485,2685578,6302365,3970183,1419620,2561810,1209173,6546443,1687973,3341025,2586025,2924891,2369812,1340808,2289041,1111214,1686811
Malaysia,Trengganu,0,1288895,139834155,108,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,10,1123158,139627207,124,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,15,1117368,139349106,125,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,20,1113668,139162067,125,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,25,1111102,139035288,125,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaysia,Trengganu,30,1106226,138785265,125,6549942,3924607,2625335,3273245,3796194,2057246,6242261,5163702,4734593,4979255,6118145,8744471,10158043,6173707,9059703,6032909,8961109,7892563,11501003,8753415,7752526,7407871,4570460,4864990,6186269,6224997
Malaysia,Trengganu,50,1084795,137498633,127,6491611,3781607,2710004,3255938,3781768,2051217,6218820,5145531,4721956,4964027,6095654,8725757,10140884,6162256,9032175,5988507,8826237,7815706,11340075,8638433,7645360,7298590,4465761,4770258,6094488,6127650
