country,year,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,emissions_Mg_CO2e
Malaysia,2001,75,27391,3093001,113,266654.0,149753.0,116901.0,269898.0
Malaysia,2001,0,97977,7827092,80,,,,
Malaysia,2001,10,71993,7808781,108,,,,
Malaysia,2001,15,71196,7769451,109,,,,
Malaysia,2001,20,70684,7742965,110,,,,
Malaysia,2001,25,70347,7726202,110,,,,
Malaysia,2001,30,69774,7696211,110,610344.0,369246.0,241098.0,562381.0
Malaysia,2001,50,66883,7514700,112,597792.0,348859.0,248932.0,557406.0
Malaysia,2001,75,56967,6728757,118,519380.0,282626.0,236754.0,492540.0
Malaysia,2001,0,85725,6653946,78,,,,
Malaysia,2001,10,72791,6638753,91,,,,
Malaysia,2001,15,72260,6610500,91,,,,
Malaysia,2001,20,71863,6588296,92,,,,
Malaysia,2001,25,71649,6576331,92,,,,
Malaysia,2001,30,71248,6553623,92,988006.0,390756.0,597251.0,1753045.0
Malaysia,2001,50,69147,6415812,93,979446.0,376045.0,603402.0,1748676.0
Malaysia,2001,75,59698,5686807,95,903485.0,316772.0,586713.0,1684568.0
Malaysia,2001,0,181514,20524140,113,,,,
Malaysia,2001,10,170877,20505522,120,,,,
Malaysia,2001,15,170260,20472113,120,,,,
Malaysia,2001,20,169719,20440785,120,,,,
Malaysia,2001,25,169420,20423681,121,,,,
Malaysia,2001,30,168934,20395312,121,1406082.0,661751.0,744332.0,532502.0
Malaysia,2001,50,166180,20211904,122,1396798.0,642614.0,754184.0,527891.0
Malaysia,2001,75,154754,19296916,125,1330268.0,564955.0,765313.0,474332.0
Malaysia,2001,0,219124,19349958,88,,,,
Malaysia,2001,10,192793,19330286,100,,,,
Malaysia,2001,15,191828,19281805,101,,,,
Malaysia,2001,20,191010,19238622,101,,,,
Malaysia,2001,25,190610,19217594,101,,,,
Malaysia,2001,30,189874,19178174,101,1269475.0,540667.0,728808.0,686704.0
Malaysia,2001,50,185892,18932744,102,1258826.0,521831.0,736996.0,678351.0
Malaysia,2001,75,168855,17643584,104,1183396.0,455329.0,728068.0,587460.0
Malaysia,2001,0,70753,8811874,125,,,,
Malaysia,2001,10,65701,8801617,134,,,,
Malaysia,2001,15,65592,8795145,134,,,,
Malaysia,2001,20,65538,8791926,134,,,,
Malaysia,2001,25,65491,8789081,134,,,,
Malaysia,2001,30,65403,8783639,134,105321.0,56499.0,48822.0,38987.0
Malaysia,2001,50,65074,8763771,135,104755.0,54937.0,49818.0,38770.0
Malaysia,2001,75,63948,8685653,136,101891.0,49272.0,52619.0,35957.0
Malaysia,2001,0,724206,103931884,144,,,,
